BANK BRI,2
BANK BRI SYARIAH,422
BANK EKSPOR INDONESIA,3
BANK MANDIRI,8
BANK BNI,9
BANK DANAMON,11
PERMATA BANK,13
BANK BCA,14
BANK BII,16
BANK PANIN,19
BANK ARTA NIAGA KENCANA,20
BANK NIAGA,22
BANK BUANA IND,23
BANK LIPPO,26
BANK NISP,28
AMERICAN EXPRESS BANK LTD,30
CITIBANK N.A.,31
"JP. MORGAN CHASE BANK, N.A.",32
"BANK OF AMERICA, N.A",33
ING INDONESIA BANK,34
BANK MULTICOR TBK.,36
BANK ARTHA GRAHA,37
BANK CREDIT AGRICOLE INDOSUEZ,39
THE BANGKOK BANK COMP. LTD,40
THE HONGKONG & SHANGHAI B.C.,41
THE BANK OF TOKYO MITSUBISHI UFJ LTD,42
BANK SUMITOMO MITSUI INDONESIA,45
BANK DBS INDONESIA,46
BANK RESONA PERDANIA,47
BANK MIZUHO INDONESIA,48
STANDARD CHARTERED BANK,50
BANK ABN AMRO,52
BANK KEPPEL TATLEE BUANA,53
"BANK CAPITAL INDONESIA, TBK.",54
BANK BNP PARIBAS INDONESIA,57
BANK UOB INDONESIA,58
KOREA EXCHANGE BANK DANAMON,59
RABOBANK INTERNASIONAL INDONESIA,60
ANZ PANIN BANK,61
DEUTSCHE BANK AG.,67
BANK WOORI INDONESIA,68
BANK OF CHINA LIMITED,69
BANK BUMI ARTA,76
BANK EKONOMI,87
BANK ANTARDAERAH,88
BANK HAGA,89
BANK IFI,93
"BANK CENTURY, TBK.",95
BANK MAYAPADA,97
BANK JABAR,110
BANK DKI,111
BPD DIY,112
BANK JATENG,113
BANK JATIM,114
BPD JAMBI,115
BPD ACEH,116
BANK SUMUT,117
BANK NAGARI,118
BANK RIAU,119
BANK SUMSEL,120
BANK LAMPUNG,121
BPD KALSEL,122
BPD KALIMANTAN BARAT,123
BPD KALTIM,124
BPD KALTENG,125
BPD SULSEL,126
BANK SULUT,127
BPD NTB,128
BPD BALI,129
BANK NTT,130
BANK MALUKU,131
BPD PAPUA,132
BANK BENGKULU,133
BPD SULAWESI TENGAH,134
BANK SULTRA,135
BANK NUSANTARA PARAHYANGAN,145
BANK SWADESI,146
BANK MUAMALAT,147
BANK MESTIKA,151
BANK METRO EXPRESS,152
BANK SHINTA INDONESIA,153
BANK MASPION,157
BANK HAGAKITA,159
BANK GANESHA,161
BANK WINDU KENTJANA,162
HALIM INDONESIA BANK,164
BANK HARMONI INTERNATIONAL,166
BANK KESAWAN,167
BANK TABUNGAN NEGARA (PERSERO),200
"BANK HIMPUNAN SAUDARA 1906, TBK .",212
BANK TABUNGAN PENSIUNAN NASIONAL,213
BANK SWAGUNA,405
BANK JASA ARTA,422
BANK MEGA,426
BANK JASA JAKARTA,427
BANK BUKOPIN,441
BANK SYARIAH MANDIRI,451
BANK BISNIS INTERNASIONAL,459
BANK SRI PARTHA,466
BANK JASA JAKARTA,472
BANK BINTANG MANUNGGAL,484
BANK BUMIPUTERA,485
BANK YUDHA BHAKTI,490
BANK MITRANIAGA,491
BANK AGRO NIAGA,494
BANK INDOMONEX,498
BANK ROYAL INDONESIA,501
BANK ALFINDO,503
BANK SYARIAH MEGA,506
BANK INA PERDANA,513
BANK HARFA,517
PRIMA MASTER BANK,520
BANK PERSYARIKATAN INDONESIA,521
BANK AKITA,525
LIMAN INTERNATIONAL BANK,526
ANGLOMAS INTERNASIONAL BANK,531
BANK DIPO INTERNATIONAL,523
BANK KESEJAHTERAAN EKONOMI,535
BANK UIB,536
BANK ARTOS IND,542
BANK PURBA DANARTA,547
BANK MULTI ARTA SENTOSA,548
BANK MAYORA,553
BANK INDEX SELINDO,555
BANK VICTORIA INTERNATIONAL,566
BANK EKSEKUTIF,558
CENTRATAMA NASIONAL BANK,559
BANK FAMA INTERNASIONAL,562
BANK SINAR HARAPAN BALI,564
BANK HARDA,567
BANK FINCONESIA,945
BANK MERINCORP,946
BANK MAYBANK INDOCORP,947
BANK OCBC â€“ INDONESIA,948
BANK CHINA TRUST INDONESIA,949
BANK COMMONWEALTH,950
BANK BJB SYARIAH,425
BPR KS (KARYAJATNIKA SEDAYA),688
INDOSAT DOMPETKU,789
TELKOMSEL TCASH,911
LINKAJA,911
